STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.13,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRB,Barbados,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.0,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRN,Brunei Darussalam,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.0,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BTN,Bhutan,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.08,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BWA,Botswana,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.0,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAF,Central African Republic,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.17,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CAN,Canada,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.0,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHE,Switzerland,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.0,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHL,Chile,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.0,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CHN,China,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,1.94,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CIV,Cote d'Ivoire,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.02,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CMR,Cameroon,WB_ESG_EN_CLC_HEAT_XD,Heat Index 35,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,COUNT,Count,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1970,0.73,WB_ESG,"Environment, Social & Governance (ESG)",0,Units,COUNT,Count (Integer),602,CCYY,A,Normal value,PU,Public
